Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Weimann,90,0,0,0,2,0,0,0,0,0,0,0,4,1,2,AVL,1 - 2,STK,Away,17,FWD,13,Average,51,0,,17
Bowery,24,0,0,0,1,0,0,0,0,0,0,0,1,1,1,AVL,1 - 2,STK,Away,17,FWD,13,Average,52,0,,3
Kozák,90,1,0,0,2,0,0,0,0,0,0,1,31,7,7,AVL,1 - 2,STK,Away,17,FWD,13,Average,574,2,-1,1
Ruddy,90,0,0,1,0,0,0,0,0,0,4,0,11,8,7,NOR,0 - 0,SUN,Away,17,GKP,8,Favourable,297,0,,0.02
Whittaker,90,0,0,1,0,0,0,0,1,0,0,0,3,5,5,NOR,0 - 0,SUN,Away,17,DEF,8,Favourable,304,0,,156
Turner,90,0,0,1,0,0,0,0,0,0,0,0,13,7,6,NOR,0 - 0,SUN,Away,17,DEF,8,Favourable,305,0,,12
Bassong,90,0,0,1,0,0,0,0,0,0,0,0,-1,8,6,NOR,0 - 0,SUN,Away,17,DEF,8,Favourable,307,0,,12
Olsson,90,0,0,1,0,0,0,0,0,0,0,0,9,6,6,NOR,0 - 0,SUN,Away,17,DEF,8,Favourable,308,0,,0.009
Johnson,90,0,0,1,0,0,0,0,0,0,0,0,8,1,3,NOR,0 - 0,SUN,Away,17,MID,8,Favourable,312,0,,0.01
Snodgrass,90,0,0,1,0,0,0,0,0,0,0,0,16,6,3,NOR,0 - 0,SUN,Away,17,MID,8,Favourable,316,2,-2,35
Redmond,90,0,0,1,0,0,0,0,0,0,0,0,14,2,3,NOR,0 - 0,SUN,Away,17,MID,8,Favourable,318,0,,0.026
Fer,90,0,0,1,0,0,0,0,0,0,0,0,21,3,3,NOR,0 - 0,SUN,Away,17,MID,8,Favourable,498,3,-3,28
v. Wolfswinkel,14,0,0,0,0,0,0,0,0,0,0,0,7,1,1,NOR,0 - 0,SUN,Away,17,FWD,8,Favourable,320,0,,14
Hooper,90,0,0,1,0,0,0,0,0,0,0,0,12,1,2,NOR,0 - 0,SUN,Away,17,FWD,8,Favourable,515,0,,0.013
Elmander,76,0,0,1,0,0,0,0,0,0,0,0,12,4,2,NOR,0 - 0,SUN,Away,17,FWD,8,Favourable,552,0,,1
McGregor,90,0,0,0,1,0,0,0,0,0,2,0,8,3,2,HUL,1 - 1,WBA,Away,17,GKP,14,Difficult,170,0,,0.074
Chester,90,0,0,0,1,0,0,0,0,0,0,0,2,2,2,HUL,1 - 1,WBA,Away,17,DEF,14,Difficult,172,0,,32
Bruce,90,0,0,0,1,0,0,0,0,0,0,0,5,2,2,HUL,1 - 1,WBA,Away,17,DEF,14,Difficult,177,0,,5
Figueroa,90,0,0,0,1,0,0,0,0,0,0,0,9,2,2,HUL,1 - 1,WBA,Away,17,DEF,14,Difficult,178,0,,19
Davies,90,0,0,0,1,0,0,0,0,0,0,0,9,3,2,HUL,1 - 1,WBA,Away,17,DEF,14,Difficult,179,0,,25
Meyler,90,0,0,0,1,0,0,0,1,0,0,0,5,-1,1,HUL,1 - 1,WBA,Away,17,MID,14,Difficult,184,0,,3
Elmohamady,90,0,0,0,1,0,0,0,0,0,0,0,19,3,2,HUL,1 - 1,WBA,Away,17,MID,14,Difficult,185,1,-1,6
Boyd,11,0,0,0,1,0,0,0,0,0,0,0,1,1,1,HUL,1 - 1,WBA,Away,17,MID,14,Difficult,186,0,,1
Huddlestone,90,0,0,0,1,0,0,0,0,0,0,0,16,4,2,HUL,1 - 1,WBA,Away,17,MID,14,Difficult,436,0,,0.009
Livermore,90,1,0,0,1,0,0,0,0,0,0,3,27,10,10,HUL,1 - 1,WBA,Away,17,MID,14,Difficult,437,3,0,0.009
Fryatt,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,HUL,1 - 1,WBA,Away,17,FWD,14,Difficult,189,0,,2
Graham,79,0,1,1,0,0,0,0,0,0,0,1,12,5,6,HUL,1 - 1,WBA,Away,17,FWD,14,Difficult,388,0,1,7
Sagbo,88,0,0,0,1,0,0,0,0,0,0,0,14,-1,2,HUL,1 - 1,WBA,Away,17,FWD,14,Difficult,527,0,,0.01
Speroni,90,0,0,0,3,0,0,0,0,0,4,0,7,5,2,CRY,0 - 3,NEW,Home,17,GKP,9,Average,102,0,,0.018
Ward,90,0,0,0,3,0,0,0,0,0,0,0,1,5,1,CRY,0 - 3,NEW,Home,17,DEF,9,Average,104,0,,0.03
Moxey,45,0,0,0,2,0,0,0,0,0,0,0,1,1,0,CRY,0 - 3,NEW,Home,17,DEF,9,Average,106,0,,14
Delaney,90,0,0,0,3,0,0,0,0,0,0,0,13,3,1,CRY,0 - 3,NEW,Home,17,DEF,9,Average,107,0,,3
Gabbidon,90,0,0,0,3,1,0,0,0,0,0,0,6,2,-1,CRY,0 - 3,NEW,Home,17,DEF,9,Average,109,0,,0.088
